adress,info,price,district,date,street,dom,clean,rooms,m2,floor,max_floors,rubm2
"Санаторная, 6А","1-к квартира, 35 м², 3/4 эт.",2090000,р-н Кировский,25 июня 19:17,Санаторная,6,Санаторная 6,1,35.0,3,4,59714.28571428572
" Хользунова, 25","1-к квартира, 31.6 м², 4/5 эт.",1500000,р-н Краснооктябрьский,25 июня 19:49,Хользунова,25,Хользунова 25,1,31.6,4,5,47468.354430379746
"Тарифная, 3","1-к квартира, 31.1 м², 4/5 эт.",1290000,р-н Краснооктябрьский,25 июня 19:57,Тарифная,3,Тарифная 3,1,31.1,4,5,41479.09967845659
" 40 лет ВЛКСМ, 10","1-к квартира, 37 м², 3/3 эт.",1060000,р-н Красноармейский,25 июня 18:44,40 лет ВЛКСМ,10,40 лет ВЛКСМ 10,1,37.0,3,3,28648.64864864865
"Курильская, 7","1-к квартира, 39.4 м², 9/9 эт.",1690000,р-н Краснооктябрьский,25 июня 19:42,Курильская,7,Курильская 7,1,39.4,9,9,42893.401015228425
" Хользунова, 32","1-к квартира, 30.1 м², 1/9 эт.",1890000,р-н Краснооктябрьский,25 июня 19:48,Хользунова,32,Хользунова 32,1,30.1,1,9,62790.6976744186
"пр-кт Героев Сталинграда, 15","1-к квартира, 30 м², 2/5 эт.",1150000,р-н Красноармейский,25 июня 18:29,пр-кт Героев Сталинграда,15,пр-кт Героев Сталинграда 15,1,30.0,2,5,38333.333333333336
"Краснознаменская, 12","1-к квартира, 33 м², 1/5 эт.",2300000,р-н Центральный,25 июня 18:46,Краснознаменская,12,Краснознаменская 12,1,33.0,1,5,69696.9696969697
"пр-кт Столетова, 32","1-к квартира, 30 м², 2/5 эт.",1050000,р-н Красноармейский,25 июня 18:50,пр-кт Столетова,32,пр-кт Столетова 32,1,30.0,2,5,35000.0
" Быстрова, 64","1-к квартира, 36 м², 4/9 эт.",1450000,р-н Кировский,25 июня 18:55,Быстрова,64,Быстрова 64,1,36.0,4,9,40277.77777777778
" Лавочкина, 3к1","1-к квартира, 50 м², 21/23 эт.",2880000,р-н Ворошиловский,25 июня 19:27,Лавочкина,3,Лавочкина 3,1,50.0,21,23,57600.0
" Кирова, 122","1-к квартира, 31 м², 2/5 эт.",1400000,р-н Кировский,25 июня 18:19,Кирова,122,Кирова 122,1,31.0,2,5,45161.290322580644
"наб Волжской Флотилии, 19","1-к квартира, 34.4 м², 4/16 эт.",1950000,р-н Тракторозаводский,25 июня 19:30,наб Волжской Флотилии,19,наб Волжской Флотилии 19,1,34.4,4,16,56686.04651162791
" Кирова, 102","1-к квартира, 33 м², 5/5 эт.",1150000,р-н Кировский,25 июня 18:24,Кирова,102,Кирова 102,1,33.0,5,5,34848.48484848485
" Кирова, 145","1-к квартира, 30 м², 2/5 эт.",1420000,р-н Кировский,25 июня 18:06,Кирова,145,Кирова 145,1,30.0,2,5,47333.333333333336
" Кирова, 140Б","1-к квартира, 30 м², 1/5 эт.",1230000,р-н Кировский,25 июня 18:11,Кирова,140,Кирова 140,1,30.0,1,5,41000.0
"Санаторная, 2Г","1-к квартира, 36 м², 3/3 эт.",2100000,р-н Кировский,25 июня 18:30,Санаторная,2,Санаторная 2,1,36.0,3,3,58333.333333333336
"Козловская, 67Б","1-к квартира, 33.6 м², 3/4 эт.",1650000,р-н Ворошиловский,25 июня 18:00,Козловская,67,Козловская 67,1,33.6,3,4,49107.142857142855
"Советский район, Горьковский, Волгоградская, 13","1-к квартира, 32.6 м², 2/5 эт.",1500000,р-н Советский,25 июня 18:08,Волгоградская,13,Волгоградская 13,1,32.6,2,5,46012.26993865031
"Советский район, Горьковский, Слепцова, 6","1-к квартира, 31 м², 5/5 эт.",1080000,р-н Советский,25 июня 18:08,Слепцова,6,Слепцова 6,1,31.0,5,5,34838.709677419356
"Историческая, 136","1-к квартира, 30.9 м², 5/5 эт.",1350000,р-н Дзержинский,25 июня 18:08,Историческая,136,Историческая 136,1,30.9,5,5,43689.320388349515
"Советский район, Горьковский, Голубятникова, 12","1-к квартира, 34.2 м², 5/5 эт.",1520000,р-н Советский,25 июня 18:08,Голубятникова,12,Голубятникова 12,1,34.2,5,5,44444.44444444444
" Малиновского, 6","1-к квартира, 27.8 м², 1/5 эт.",1770000,р-н Советский,25 июня 18:08,Малиновского,6,Малиновского 6,1,27.8,1,5,63669.06474820144
" Быстрова, 102","1-к квартира, 29 м², 9/10 эт.",1410000,р-н Кировский,25 июня 16:44,Быстрова,102,Быстрова 102,1,29.0,9,10,48620.68965517241
"район Семь Ветров, Константина Симонова, 38","1-к квартира, 35.6 м², 9/9 эт.",2070000,р-н Дзержинский,25 июня 18:08,Константина Симонова,38,Константина Симонова 38,1,35.6,9,9,58146.06741573034
"район Семь Ветров,б-р 30летия Победы, 66","1-к квартира, 32.3 м², 1/9 эт.",2000000,р-н Дзержинский,25 июня 18:08,б-р 30летия Победы,66,б-р 30летия Победы 66,1,32.3,1,9,61919.50464396286
" Губкина, 9","1-к квартира, 32 м², 4/4 эт.",1100000,р-н Кировский,25 июня 18:16,Губкина,9,Губкина 9,1,32.0,4,4,34375.0
" Дегтярева, 47","1-к квартира, 37.1 м², 4/4 эт.",1350000,р-н Тракторозаводский,25 июня 18:08,Дегтярева,47,Дегтярева 47,1,37.1,4,4,36388.14016172507
" Грибанова, 12","1-к квартира, 34.5 м², 4/4 эт.",1870000,р-н Советский,,Грибанова,12,Грибанова 12,1,34.5,4,4,54202.89855072464
" Грибанова, 4","1-к квартира, 37.3 м², 1/3 эт.",1790000,р-н Советский,,Грибанова,4,Грибанова 4,1,37.3,1,3,47989.27613941019
"Университетскийпр-кт, 50","1-к квартира, 31.9 м², 4/5 эт.",1400000,р-н Советский,,Университетскийпр-кт,50,Университетскийпр-кт 50,1,31.9,4,5,43887.1473354232
" Николая Отрады, 8","1-к квартира, 36.3 м², 6/9 эт.",1840000,р-н Тракторозаводский,25 июня 18:08,Николая Отрады,8,Николая Отрады 8,1,36.3,6,9,50688.70523415978
"Караванная, 39","1-к квартира, 34.9 м², 1/9 эт.",1370000,р-н Красноармейский,25 июня 18:08,Караванная,39,Караванная 39,1,34.9,1,9,39255.014326647564
"Даугавская, 20","1-к квартира, 47.6 м², 3/9 эт.",2700000,р-н Советский,25 июня 17:52,Даугавская,20,Даугавская 20,1,47.6,3,9,56722.68907563025
" Ханпаши Нурадилова, 7","1-к квартира, 51 м², 17/22 эт.",3350000,р-н Центральный,,Ханпаши Нурадилова,7,Ханпаши Нурадилова 7,1,51.0,17,22,65686.27450980392
" Канунникова, 5","1-к квартира, 30 м², 2/5 эт.",1990000,р-н Ворошиловский,,Канунникова,5,Канунникова 5,1,30.0,2,5,66333.33333333333
" Покрышкина, 11","1-к квартира, 53 м², 15/17 эт.",3750000,р-н Дзержинский,,Покрышкина,11,Покрышкина 11,1,53.0,15,17,70754.71698113208
"Волгоград, Быстрова, 64","1-к квартира, 36 м², 1/9 эт.",1690000,р-н Кировский,25 июня 16:29,Быстрова,64,Быстрова 64,1,36.0,1,9,46944.444444444445
"Санаторная, 2Г","1-к квартира, 34 м², 1/3 эт.",2260000,р-н Кировский,25 июня 17:06,Санаторная,2,Санаторная 2,1,34.0,1,3,66470.58823529411
"пр-кт маршала Жукова, 5","1-к квартира, 49.1 м², 10/24 эт.",3800000,р-н Дзержинский,25 июня 18:08,пр-кт маршала Жукова,5,пр-кт маршала Жукова 5,1,49.1,10,24,77393.07535641547
" Саши Чекалина, 39","1-к квартира, 25.5 м², 1/2 эт.",770000,р-н Кировский,25 июня 18:08,Саши Чекалина,39,Саши Чекалина 39,1,25.5,1,2,30196.07843137255
" Соляной, Садовая, 12","1-к квартира, 23.9 м², 1/1 эт.",680000,р-н Красноармейский,25 июня 17:12,Садовая,12,Садовая 12,1,23.9,1,1,28451.882845188287
"Елецкая, 16","1-к квартира, 35.8 м², 6/9 эт.",2570000,р-н Ворошиловский,25 июня 17:30,Елецкая,16,Елецкая 16,1,35.8,6,9,71787.70949720671
"микрорайон Жилгородок, Кутузовская, 9","1-к квартира, 30.2 м², 1/5 эт.",1450000,р-н Дзержинский,25 июня 14:59,Кутузовская,9,Кутузовская 9,1,30.2,1,5,48013.24503311259
"пр-кт Героев Сталинграда, 13","1-к квартира, 31 м², 3/5 эт.",1400000,р-н Красноармейский,25 июня 14:58,пр-кт Героев Сталинграда,13,пр-кт Героев Сталинграда 13,1,31.0,3,5,45161.290322580644
" Рыкачева, 24","1-к квартира, 33 м², 9/10 эт.",1850000,р-н Тракторозаводский,25 июня 15:36,Рыкачева,24,Рыкачева 24,1,33.0,9,10,56060.606060606064
"Казахская, 19","1-к квартира, 31 м², 3/5 эт.",1550000,р-н Советский,25 июня 15:49,Казахская,19,Казахская 19,1,31.0,3,5,50000.0
"Пятиморская, 25","1-к квартира, 33.4 м², 3/4 эт.",1300000,р-н Красноармейский,25 июня 15:54,Пятиморская,25,Пятиморская 25,1,33.4,3,4,38922.155688622755
"Высокая, 30","1-к квартира, 39 м², 2/6 эт.",2850000,р-н Краснооктябрьский,25 июня 16:02,Высокая,30,Высокая 30,1,39.0,2,6,73076.92307692308
"Профсоюзная, 19","1-к квартира, 29 м², 4/5 эт.",1600000,р-н Ворошиловский,25 июня 14:20,Профсоюзная,19,Профсоюзная 19,1,29.0,4,5,55172.41379310345
"Авиаторская, 3А","1-к квартира, 38.2 м², 2/11 эт.",3100000,р-н Советский,25 июня 15:25,Авиаторская,3,Авиаторская 3,1,38.2,2,11,81151.83246073299
" 51 Гвардейской дивизии, 19А","1-к квартира, 29.6 м², 4/9 эт.",1600000,р-н Дзержинский,25 июня 14:44,51 Гвардейской дивизии,19,51 Гвардейской дивизии 19,1,29.6,4,9,54054.05405405405
" Тимирязева, 42А","1-к квартира, 35.8 м², 2/4 эт.",1570000,р-н Советский,25 июня 14:44,Тимирязева,42,Тимирязева 42,1,35.8,2,4,43854.74860335196
"пр-кт Столетова, 55","1-к квартира, 34 м², 1/5 эт.",1150000,р-н Красноармейский,25 июня 15:25,пр-кт Столетова,55,пр-кт Столетова 55,1,34.0,1,5,33823.529411764706
"РабочеКрестьянская, 45","1-к квартира, 31.2 м², 5/5 эт.",1750000,р-н Ворошиловский,25 июня 13:50,РабочеКрестьянская,45,РабочеКрестьянская 45,1,31.2,5,5,56089.74358974359
" Фадеева, 19","1-к квартира, 31.9 м², 3/5 эт.",1190000,р-н Красноармейский,25 июня 14:07,Фадеева,19,Фадеева 19,1,31.9,3,5,37304.07523510972
"Бамбуковая, 12","1-к квартира, 38 м², 1/1 эт.",959000,р-н Кировский,25 июня 14:01,Бамбуковая,12,Бамбуковая 12,1,38.0,1,1,25236.842105263157
"микрорайон Тулака, Туркменская, 6","1-к квартира, 53 м², 12/24 эт.",2370000,р-н Советский,25 июня 14:44,Туркменская,6,Туркменская 6,1,53.0,12,24,44716.981132075474
"микрорайон Жилгородок, Танкистов, 7","1-к квартира, 35 м², 5/9 эт.",1900000,р-н Дзержинский,25 июня 13:56,Танкистов,7,Танкистов 7,1,35.0,5,9,54285.71428571428
"Новоремесленная, 3","1-к квартира, 42 м², 7/10 эт.",2450000,р-н Краснооктябрьский,25 июня 13:58,Новоремесленная,3,Новоремесленная 3,1,42.0,7,10,58333.333333333336
" 64 Армии, 77","1-к квартира, 28.2 м², 1/5 эт.",1250000,р-н Кировский,25 июня 13:43,64 Армии,77,64 Армии 77,1,28.2,1,5,44326.24113475178
" Тимирязева, 31","1-к квартира, 32.9 м², 1/9 эт.",1700000,р-н Советский,25 июня 13:43,Тимирязева,31,Тимирязева 31,1,32.9,1,9,51671.73252279635
" Николая Отрады, 26А","1-к квартира, 30 м², 8/10 эт.",1575000,р-н Тракторозаводский,25 июня 12:35,Николая Отрады,26,Николая Отрады 26,1,30.0,8,10,52500.0
"Донецкая, 5","1-к квартира, 30 м², 9/9 эт.",1670000,р-н Центральный,25 июня 13:29,Донецкая,5,Донецкая 5,1,30.0,9,9,55666.666666666664
"Ангарская, 112","1-к квартира, 36 м², 3/5 эт.",1350000,р-н Дзержинский,25 июня 13:31,Ангарская,112,Ангарская 112,1,36.0,3,5,37500.0
"Изобильная, 14","1-к квартира, 36 м², 1/9 эт.",1560000,р-н Красноармейский,25 июня 12:25,Изобильная,14,Изобильная 14,1,36.0,1,9,43333.333333333336
"Удмуртская, 14","1-к квартира, 33 м², 3/5 эт.",1150000,р-н Красноармейский,25 июня 12:43,Удмуртская,14,Удмуртская 14,1,33.0,3,5,34848.48484848485
" Военный городок, 8","1-к квартира, 34.3 м², 5/5 эт.",1180000,р-н Кировский,25 июня 12:42,Военный городок,8,Военный городок 8,1,34.3,5,5,34402.33236151604
" Стройдеталь, 13","1-к квартира, 41.9 м², 3/18 эт.",2800000,р-н Советский,25 июня 13:36,Стройдеталь,13,Стройдеталь 13,1,41.9,3,18,66825.77565632458
" 64 Армии, 20","1-к квартира, 31 м², 4/5 эт.",1400000,р-н Кировский,25 июня 13:05,64 Армии,20,64 Армии 20,1,31.0,4,5,45161.290322580644
" Ивана Морозова, 9","1-к квартира, 39.3 м², 2/10 эт.",2260000,р-н Дзержинский,25 июня 13:23,Ивана Морозова,9,Ивана Морозова 9,1,39.3,2,10,57506.36132315522
" Глазкова, 22","1-к квартира, 32.4 м², 9/10 эт.",2430000,р-н Центральный,25 июня 13:00,Глазкова,22,Глазкова 22,1,32.4,9,10,75000.0
" Козака, 9А","1-к квартира, 31.3 м², 2/5 эт.",1200000,р-н Кировский,25 июня 13:08,Козака,9,Козака 9,1,31.3,2,5,38338.65814696485
" маршала Воронова, 18","1-к квартира, 36.7 м², 4/9 эт.",2000000,р-н Советский,25 июня 13:08,маршала Воронова,18,маршала Воронова 18,1,36.7,4,9,54495.912806539505
"Тарифная, 3","1-к квартира, 30.6 м², 4/5 эт.",1550000,р-н Краснооктябрьский,25 июня 13:11,Тарифная,3,Тарифная 3,1,30.6,4,5,50653.59477124183
"Высокая, 18А","1-к квартира, 36.1 м², 6/16 эт.",1999999,р-н Краснооктябрьский,25 июня 12:35,Высокая,18,Высокая 18,1,36.1,6,16,55401.63434903047
"наб Волжской Флотилии, 23А","1-к квартира, 47.9 м², 7/9 эт.",2750000,р-н Тракторозаводский,25 июня 13:18,наб Волжской Флотилии,23,наб Волжской Флотилии 23,1,47.9,7,9,57411.273486430066
" Тулака, 1А","1-к квартира, 50.6 м², 9/10 эт.",3250000,р-н Советский,25 июня 13:17,Тулака,1,Тулака 1,1,50.6,9,10,64229.249011857704
"район Семь Ветров, 8 Воздушной Армии, 16","1-к квартира, 35 м², 7/12 эт.",2350000,р-н Дзержинский,25 июня 13:22,8 Воздушной Армии,16,8 Воздушной Армии 16,1,35.0,7,12,67142.85714285714
"пр-кт В.И. Ленина, 173","1-к квартира, 32.1 м², 5/7 эт.",1460000,р-н Тракторозаводский,25 июня 12:01,пр-кт В.И. Ленина,173,пр-кт В.И. Ленина 173,1,32.1,5,7,45482.86604361371
"Пролетарская, 51А","1-к квартира, 35.3 м², 1/10 эт.",1560000,р-н Красноармейский,25 июня 11:35,Пролетарская,51,Пролетарская 51,1,35.3,1,10,44192.63456090652
"Николаевская, 15","1-к квартира, 35 м², 5/5 эт.",1100000,р-н Красноармейский,25 июня 11:55,Николаевская,15,Николаевская 15,1,35.0,5,5,31428.571428571428
" Хорошева, 16","1-к квартира, 49.6 м², 4/9 эт.",2500000,р-н Дзержинский,25 июня 12:52,Хорошева,16,Хорошева 16,1,49.6,4,9,50403.22580645161
"Селенгинская, 9","1-к квартира, 45.9 м², 1/10 эт.",3450000,р-н Центральный,,Селенгинская,9,Селенгинская 9,1,45.9,1,10,75163.39869281046
" Грибанова, 12","1-к квартира, 34.5 м², 4/4 эт.",1870000,р-н Советский,,Грибанова,12,Грибанова 12,1,34.5,4,4,54202.89855072464
" Грибанова, 4","1-к квартира, 37.3 м², 1/3 эт.",1790000,р-н Советский,,Грибанова,4,Грибанова 4,1,37.3,1,3,47989.27613941019
"микрорайон Жилгородок, Танкистов, 7","1-к квартира, 26 м², 9/9 эт.",1600000,р-н Дзержинский,25 июня 11:44,Танкистов,7,Танкистов 7,1,26.0,9,9,61538.46153846154
"Гремячинская, 18","1-к квартира, 33 м², 5/5 эт.",850000,р-н Красноармейский,25 июня 11:36,Гремячинская,18,Гремячинская 18,1,33.0,5,5,25757.575757575756
"Казахская, 10","1-к квартира, 30 м², 7/9 эт.",1700000,р-н Советский,25 июня 11:13,Казахская,10,Казахская 10,1,30.0,7,9,56666.666666666664
"Университетскийпр-кт, 50","1-к квартира, 31.9 м², 4/5 эт.",1400000,р-н Советский,,Университетскийпр-кт,50,Университетскийпр-кт 50,1,31.9,4,5,43887.1473354232
" Ханпаши Нурадилова, 7","1-к квартира, 51 м², 17/22 эт.",3350000,р-н Центральный,,Ханпаши Нурадилова,7,Ханпаши Нурадилова 7,1,51.0,17,22,65686.27450980392
" Канунникова, 5","1-к квартира, 30 м², 2/5 эт.",1990000,р-н Ворошиловский,,Канунникова,5,Канунникова 5,1,30.0,2,5,66333.33333333333
"Советский район, Горьковский, Валентины Терешковой, 6","1-к квартира, 31 м², 3/4 эт.",1130000,р-н Советский,25 июня 11:12,Валентины Терешковой,6,Валентины Терешковой 6,1,31.0,3,4,36451.6129032258
" Милиционера Буханцева, 70","1-к квартира, 32 м², 3/5 эт.",1360000,р-н Ворошиловский,25 июня 11:11,Милиционера Буханцева,70,Милиционера Буханцева 70,1,32.0,3,5,42500.0
" Хользунова, 18/3","1-к квартира, 40 м², 3/17 эт.",2100000,р-н Краснооктябрьский,25 июня 11:00,Хользунова,18,Хользунова 18,1,40.0,3,17,52500.0
"Советский район, Горьковский, Волгоградская, 13","1-к квартира, 33.2 м², 5/5 эт.",1400000,р-н Советский,25 июня 11:47,Волгоградская,13,Волгоградская 13,1,33.2,5,5,42168.67469879518
" Пархоменко, 43","1-к квартира, 38.4 м², 7/10 эт.",2050000,р-н Центральный,25 июня 11:47,Пархоменко,43,Пархоменко 43,1,38.4,7,10,53385.41666666667
" Таращанцев, 42","1-к квартира, 30 м², 1/5 эт.",1250000,р-н Краснооктябрьский,25 июня 10:43,Таращанцев,42,Таращанцев 42,1,30.0,1,5,41666.666666666664
" Пархоменко, 57","1-к квартира, 34.4 м², 15/16 эт.",2120000,р-н Центральный,25 июня 11:47,Пархоменко,57,Пархоменко 57,1,34.4,15,16,61627.90697674419
" Грибанова, 11","1-к квартира, 40.2 м², 3/3 эт.",2220000,р-н Советский,25 июня 11:48,Грибанова,11,Грибанова 11,1,40.2,3,3,55223.88059701492
"Невская, 6","1-к квартира, 31.9 м², 9/9 эт.",2070000,р-н Центральный,25 июня 11:47,Невская,6,Невская 6,1,31.9,9,9,64890.28213166144
" Хорошева, 10","1-к квартира, 60 м², 6/6 эт.",3050000,р-н Дзержинский,25 июня 12:10,Хорошева,10,Хорошева 10,1,60.0,6,6,50833.333333333336
" Репина, 62А","1-к квартира, 40 м², 5/9 эт.",2790000,р-н Краснооктябрьский,25 июня 11:23,Репина,62,Репина 62,1,40.0,5,9,69750.0
" генерала Штеменко, 37","1-к квартира, 31.1 м², 5/5 эт.",1500000,р-н Краснооктябрьский,25 июня 11:47,генерала Штеменко,37,генерала Штеменко 37,1,31.1,5,5,48231.51125401929
" Ангарский, маршала Рыбалко, 14А","1-к квартира, 41.2 м², 9/9 эт.",2670000,р-н Дзержинский,25 июня 11:47,маршала Рыбалко,14,маршала Рыбалко 14,1,41.2,9,9,64805.82524271844
"пр-кт В.И. Ленина, 2","1-к квартира, 31.9 м², 6/9 эт.",3100000,р-н Центральный,25 июня 11:21,пр-кт В.И. Ленина,2,пр-кт В.И. Ленина 2,1,31.9,6,9,97178.68338557995
"Новоузенская, 10","1-к квартира, 34.8 м², 13/14 эт.",2050000,р-н Ворошиловский,25 июня 11:47,Новоузенская,10,Новоузенская 10,1,34.8,13,14,58908.0459770115
" 50 лет Октября, 17","1-к квартира, 31.6 м², 6/9 эт.",1310000,р-н Красноармейский,25 июня 11:47,50 лет Октября,17,50 лет Октября 17,1,31.6,6,9,41455.696202531646
" Глазкова, 22","1-к квартира, 30.1 м², 9/10 эт.",2500000,р-н Центральный,25 июня 11:47,Глазкова,22,Глазкова 22,1,30.1,9,10,83056.4784053156
" 51 Гвардейской дивизии, 28Б","1-к квартира, 29.5 м², 2/9 эт.",1700000,р-н Дзержинский,25 июня 10:19,51 Гвардейской дивизии,28,51 Гвардейской дивизии 28,1,29.5,2,9,57627.1186440678
" Зины Маресевой, 7А","1-к квартира, 31 м², 1/5 эт.",1250000,р-н Кировский,25 июня 10:51,Зины Маресевой,7,Зины Маресевой 7,1,31.0,1,5,40322.58064516129
" Сологубова, 56А","1-к квартира, 33.9 м², 3/9 эт.",960000,р-н Красноармейский,25 июня 11:47,Сологубова,56,Сологубова 56,1,33.9,3,9,28318.58407079646
"Краснопресненская, 3","1-к квартира, 36.1 м², 16/18 эт.",2300000,р-н Советский,25 июня 11:47,Краснопресненская,3,Краснопресненская 3,1,36.1,16,18,63711.911357340716
" ПортСаида, 9","1-к квартира, 33.5 м², 4/5 эт.",2800000,р-н Центральный,25 июня 11:15,ПортСаида,9,ПортСаида 9,1,33.5,4,5,83582.0895522388
" Водников, 12","1-к квартира, 30.5 м², 4/5 эт.",950000,р-н Красноармейский,25 июня 11:40,Водников,12,Водников 12,1,30.5,4,5,31147.54098360656
" маршала Еременко, 94","1-к квартира, 32 м², 4/5 эт.",1550000,р-н Краснооктябрьский,25 июня 11:06,маршала Еременко,94,маршала Еременко 94,1,32.0,4,5,48437.5
" Елисеева, 17","1-к квартира, 44.9 м², 1/9 эт.",1900000,р-н Ворошиловский,25 июня 10:10,Елисеева,17,Елисеева 17,1,44.9,1,9,42316.2583518931
"Советский район, Горьковский, Валентины Терешковой, 7","1-к квартира, 30.4 м², 2/4 эт.",850000,р-н Советский,25 июня 11:23,Валентины Терешковой,7,Валентины Терешковой 7,1,30.4,2,4,27960.526315789473
" Рокоссовского, 62","1-к квартира, 38.6 м², 3/3 эт.",2900000,р-н Центральный,25 июня 10:16,Рокоссовского,62,Рокоссовского 62,1,38.6,3,3,75129.53367875647
" Кастерина, 2","1-к квартира, 36 м², 5/9 эт.",1880000,р-н Тракторозаводский,25 июня 09:37,Кастерина,2,Кастерина 2,1,36.0,5,9,52222.22222222222
" Хользунова, 7","1-к квартира, 32.9 м², 4/4 эт.",1870000,р-н Краснооктябрьский,25 июня 10:51,Хользунова,7,Хользунова 7,1,32.9,4,4,56838.90577507599
"Социалистическая, 26","1-к квартира, 31 м², 2/5 эт.",1800000,р-н Ворошиловский,25 июня 09:39,Социалистическая,26,Социалистическая 26,1,31.0,2,5,58064.51612903226
"пр-кт маршала Жукова, 88","1-к квартира, 38 м², 4/16 эт.",2650000,р-н Дзержинский,25 июня 09:42,пр-кт маршала Жукова,88,пр-кт маршала Жукова 88,1,38.0,4,16,69736.84210526316
" Малиновского, 10","1-к квартира, 38 м², 2/5 эт.",2300000,р-н Советский,25 июня 09:02,Малиновского,10,Малиновского 10,1,38.0,2,5,60526.31578947369
" Грибанова, 9А","1-к квартира, 23 м², 1/3 эт.",1400000,р-н Советский,25 июня 08:25,Грибанова,9,Грибанова 9,1,23.0,1,3,60869.565217391304
"Владимирская, 56","1-к квартира, 36.5 м², 1/3 эт.",1700000,р-н Советский,25 июня 07:10,Владимирская,56,Владимирская 56,1,36.5,1,3,46575.34246575343
" Черепановых, 3","1-к квартира, 33 м², 4/9 эт.",1130000,р-н Красноармейский,25 июня 06:37,Черепановых,3,Черепановых 3,1,33.0,4,9,34242.42424242424
"Новодвинская, 52","1-к квартира, 33 м², 9/9 эт.",1600000,р-н Дзержинский,24 июня 22:25,Новодвинская,52,Новодвинская 52,1,33.0,9,9,48484.84848484849
" Пархоменко, 61","1-к квартира, 36 м², 2/9 эт.",2180000,р-н Центральный,24 июня 21:46,Пархоменко,61,Пархоменко 61,1,36.0,2,9,60555.555555555555
"наб Волжской Флотилии, 21Б","1-к квартира, 47 м², 5/10 эт.",2450000,р-н Тракторозаводский,24 июня 21:04,наб Волжской Флотилии,21,наб Волжской Флотилии 21,1,47.0,5,10,52127.65957446808
"Санаторная, 10А","1-к квартира, 34.2 м², 2/3 эт.",2300000,р-н Кировский,24 июня 21:38,Санаторная,10,Санаторная 10,1,34.2,2,3,67251.46198830409
"Санаторная, 2Д","1-к квартира, 36 м², 3/4 эт.",2100000,р-н Кировский,24 июня 20:52,Санаторная,2,Санаторная 2,1,36.0,3,4,58333.333333333336
"микрорайон Жилгородок, Танкистов, 5","1-к квартира, 36 м², 5/9 эт.",2150000,р-н Дзержинский,24 июня 21:14,Танкистов,5,Танкистов 5,1,36.0,5,9,59722.22222222222
" Быстрова, 102","1-к квартира, 33 м², 3/10 эт.",1500000,р-н Кировский,24 июня 20:23,Быстрова,102,Быстрова 102,1,33.0,3,10,45454.545454545456
" Грибанова, 5Б","1-к квартира, 40 м², 1/3 эт.",2100000,р-н Советский,24 июня 21:48,Грибанова,5,Грибанова 5,1,40.0,1,3,52500.0
"Удмуртский, 105","1-к квартира, 55 м², 4/5 эт.",2500000,р-н Советский,24 июня 19:55,Удмуртский,105,Удмуртский 105,1,55.0,4,5,45454.545454545456
"Пражская, 12","1-к квартира, 30.3 м², 4/5 эт.",2080000,р-н Центральный,24 июня 19:45,Пражская,12,Пражская 12,1,30.3,4,5,68646.86468646865
" Вершинина, 14","1-к квартира, 32 м², 5/5 эт.",1690000,р-н Краснооктябрьский,24 июня 20:02,Вершинина,14,Вершинина 14,1,32.0,5,5,52812.5
" Покрышкина, 11","1-к квартира, 53 м², 15/17 эт.",3750000,р-н Дзержинский,,Покрышкина,11,Покрышкина 11,1,53.0,15,17,70754.71698113208
"Селенгинская, 9","1-к квартира, 45.9 м², 1/10 эт.",3450000,р-н Центральный,,Селенгинская,9,Селенгинская 9,1,45.9,1,10,75163.39869281046
" Грибанова, 12","1-к квартира, 34.5 м², 4/4 эт.",1870000,р-н Советский,,Грибанова,12,Грибанова 12,1,34.5,4,4,54202.89855072464
" Ангарский, Михаила Паникахи, 14","1-к квартира, 30 м², 1/3 эт.",1500000,р-н Дзержинский,24 июня 18:57,Михаила Паникахи,14,Михаила Паникахи 14,1,30.0,1,3,50000.0
" Хорошева, 46","1-к квартира, 35 м², 5/5 эт.",1450000,р-н Дзержинский,24 июня 18:39,Хорошева,46,Хорошева 46,1,35.0,5,5,41428.57142857143
" Пожарского, 348","1-к квартира, 41 м², 5/5 эт.",2500000,р-н Кировский,24 июня 19:37,Пожарского,348,Пожарского 348,1,41.0,5,5,60975.60975609756
" Грибанова, 4","1-к квартира, 37.3 м², 1/3 эт.",1790000,р-н Советский,,Грибанова,4,Грибанова 4,1,37.3,1,3,47989.27613941019
"Университетскийпр-кт, 50","1-к квартира, 31.9 м², 4/5 эт.",1400000,р-н Советский,,Университетскийпр-кт,50,Университетскийпр-кт 50,1,31.9,4,5,43887.1473354232
" Ханпаши Нурадилова, 7","1-к квартира, 51 м², 17/22 эт.",3350000,р-н Центральный,,Ханпаши Нурадилова,7,Ханпаши Нурадилова 7,1,51.0,17,22,65686.27450980392
"Днестровская, 14","1-к квартира, 50 м², 6/9 эт.",3500000,р-н Центральный,24 июня 19:37,Днестровская,14,Днестровская 14,1,50.0,6,9,70000.0
"Санаторная, 4Б","1-к квартира, 42 м², 4/4 эт.",2520000,р-н Кировский,24 июня 19:47,Санаторная,4,Санаторная 4,1,42.0,4,4,60000.0
"Курильская, 7","1-к квартира, 35 м², 8/9 эт.",1790000,р-н Краснооктябрьский,24 июня 19:02,Курильская,7,Курильская 7,1,35.0,8,9,51142.857142857145
