adress,info,price,district,date,street,dom,clean,rooms,m2,floor,max_floors,rubm2
"микрорайон Жилгородок, Ессентукская, 11","1-к квартира, 29 м², 1/9 эт.",1790000,р-н Дзержинский,1 июля 17:29,Ессентукская,11,Ессентукская 11,1,29.0,1,9,61724.137931034486
"Судостроительная, 43","1-к квартира, 31 м², 4/5 эт.",1200000,р-н Красноармейский,1 июля 17:28,Судостроительная,43,Судостроительная 43,1,31.0,4,5,38709.67741935484
"микрорайон Керамический, 2я Штурманская, 2","1-к квартира, 36.5 м², 6/9 эт.",1250000,р-н Красноармейский,1 июля 17:28,2я Штурманская,2,2я Штурманская 2,1,36.5,6,9,34246.57534246575
" Калинина, 2А","1-к квартира, 51.1 м², 14/28 эт.",4100000,р-н Ворошиловский,1 июля 17:28,Калинина,2,Калинина 2,1,51.1,14,28,80234.8336594912
" Пархоменко, 2А","1-к квартира, 54 м², 10/18 эт.",3050000,р-н Центральный,1 июля 17:24,Пархоменко,2,Пархоменко 2,1,54.0,10,18,56481.48148148148
"Высокая, 30","1-к квартира, 47.9 м², 3/6 эт.",2190000,р-н Краснооктябрьский,1 июля 17:19,Высокая,30,Высокая 30,1,47.9,3,6,45720.25052192067
" Дегтярева, 7","1-к квартира, 30.7 м², 1/5 эт.",1250000,р-н Тракторозаводский,1 июля 17:18,Дегтярева,7,Дегтярева 7,1,30.7,1,5,40716.612377850164
" Качинцев, 112","1-к квартира, 34 м², 3/9 эт.",1980000,р-н Дзержинский,1 июля 17:01,Качинцев,112,Качинцев 112,1,34.0,3,9,58235.294117647056
" Дзержинского, 51А","1-к квартира, 21 м², 2/9 эт.",990000,р-н Тракторозаводский,1 июля 16:55,Дзержинского,51,Дзержинского 51,1,21.0,2,9,47142.857142857145
"б-р Энгельса, 23А","1-к квартира, 44 м², 6/16 эт.",3100000,р-н Красноармейский,1 июля 16:49,б-р Энгельса,23,б-р Энгельса 23,1,44.0,6,16,70454.54545454546
" Козьмы Минина, 4","1-к квартира, 32.2 м², 7/9 эт.",1580000,р-н Кировский,1 июля 16:03,Козьмы Минина,4,Козьмы Минина 4,1,32.2,7,9,49068.32298136646
" 51 Гвардейской дивизии, 52","1-к квартира, 37 м², 9/9 эт.",1920000,р-н Дзержинский,1 июля 16:01,51 Гвардейской дивизии,52,51 Гвардейской дивизии 52,1,37.0,9,9,51891.89189189189
" Германа Титова, 44","1-к квартира, 27.1 м², 3/5 эт.",1800000,р-н Краснооктябрьский,1 июля 16:02,Германа Титова,44,Германа Титова 44,1,27.1,3,5,66420.66420664206
"Волгоград, микрорайон Водстрой, Костюченко, 11","1-к квартира, 26.1 м², 3/3 эт.",830000,р-н Тракторозаводский,1 июля 16:00,Костюченко,11,Костюченко 11,1,26.1,3,3,31800.766283524903
" Дзержинского, 51А","1-к квартира, 30 м², 2/9 эт.",1150000,р-н Тракторозаводский,1 июля 15:48,Дзержинского,51,Дзержинского 51,1,30.0,2,9,38333.333333333336
" Покрышкина, 6","1-к квартира, 35 м², 4/5 эт.",2900000,р-н Дзержинский,1 июля 14:26,Покрышкина,6,Покрышкина 6,1,35.0,4,5,82857.14285714286
"Удмуртская, 31","1-к квартира, 30.5 м², 5/5 эт.",1100000,р-н Красноармейский,1 июля 14:24,Удмуртская,31,Удмуртская 31,1,30.5,5,5,36065.57377049181
" Глазкова, 23А","1-к квартира, 50.8 м², 7/10 эт.",2250000,р-н Центральный,1 июля 12:42,Глазкова,23,Глазкова 23,1,50.8,7,10,44291.33858267717
"Загорская, 21","1-к квартира, 31 м², 4/5 эт.",1500000,р-н Тракторозаводский,1 июля 13:48,Загорская,21,Загорская 21,1,31.0,4,5,48387.096774193546
"пр-кт маршала Жукова, 5","1-к квартира, 55 м², 3/24 эт.",3680000,р-н Дзержинский,1 июля 13:41,пр-кт маршала Жукова,5,пр-кт маршала Жукова 5,1,55.0,3,24,66909.09090909091
" Бажова, 9","1-к квартира, 39 м², 2/9 эт.",1890000,р-н Краснооктябрьский,1 июля 12:13,Бажова,9,Бажова 9,1,39.0,2,9,48461.53846153846
"пр-кт Металлургов, 27","1-к квартира, 29.3 м², 4/5 эт.",1650000,р-н Краснооктябрьский,1 июля 13:34,пр-кт Металлургов,27,пр-кт Металлургов 27,1,29.3,4,5,56313.993174061434
" Покрышкина, 6","1-к квартира, 35.2 м², 4/6 эт.",2050000,р-н Дзержинский,1 июля 13:18,Покрышкина,6,Покрышкина 6,1,35.2,4,6,58238.63636363636
" Фадеева, 9","1-к квартира, 31.6 м², 3/5 эт.",1300000,р-н Красноармейский,1 июля 12:58,Фадеева,9,Фадеева 9,1,31.6,3,5,41139.240506329115
" Балакирева, 2","1-к квартира, 32 м², 2/10 эт.",1900000,р-н Советский,1 июля 12:47,Балакирева,2,Балакирева 2,1,32.0,2,10,59375.0
" 70летия Победы, 2","1-к квартира, 33.7 м², 5/5 эт.",2050000,р-н Кировский,1 июля 12:01,70летия Победы,2,70летия Победы 2,1,33.7,5,5,60830.86053412462
" Быстрова, 102","1-к квартира, 32 м², 7/10 эт.",1520000,р-н Кировский,1 июля 12:36,Быстрова,102,Быстрова 102,1,32.0,7,10,47500.0
" Кастерина, 5","1-к квартира, 31.8 м², 10/20 эт.",1420000,р-н Тракторозаводский,1 июля 12:28,Кастерина,5,Кастерина 5,1,31.8,10,20,44654.088050314465
" Ольги Форш, 2","1-к квартира, 26 м², 1/3 эт.",1360000,р-н Краснооктябрьский,1 июля 12:14,Ольги Форш,2,Ольги Форш 2,1,26.0,1,3,52307.692307692305
" Курчатова, 6","1-к квартира, 30.9 м², 4/4 эт.",1300000,р-н Кировский,1 июля 12:05,Курчатова,6,Курчатова 6,1,30.9,4,4,42071.19741100324
" 64 Армии, 81","1-к квартира, 29.5 м², 1/5 эт.",1670000,р-н Кировский,1 июля 12:05,64 Армии,81,64 Армии 81,1,29.5,1,5,56610.16949152543
" генерала Штеменко, 24","1-к квартира, 32.6 м², 1/9 эт.",1670000,р-н Краснооктябрьский,1 июля 12:07,генерала Штеменко,24,генерала Штеменко 24,1,32.6,1,9,51226.99386503067
" 64 Армии, 22","1-к квартира, 32.7 м², 3/5 эт.",1450000,р-н Кировский,1 июля 12:07,64 Армии,22,64 Армии 22,1,32.7,3,5,44342.50764525993
"Калининградская, 2А","1-к квартира, 36.7 м², 4/9 эт.",2060000,р-н Советский,1 июля 12:07,Калининградская,2,Калининградская 2,1,36.7,4,9,56130.79019073569
" Лавочкина, 10А","1-к квартира, 40.3 м², 7/17 эт.",3300000,р-н Ворошиловский,1 июля 12:07,Лавочкина,10,Лавочкина 10,1,40.3,7,17,81885.85607940448
"пр-кт маршала Жукова, 98Б","1-к квартира, 37.1 м², 6/17 эт.",2070000,р-н Дзержинский,1 июля 12:07,пр-кт маршала Жукова,98,пр-кт маршала Жукова 98,1,37.1,6,17,55795.14824797843
" Ангарский, Бурейская, 1","1-к квартира, 66.5 м², 1/9 эт.",1550000,р-н Дзержинский,1 июля 10:38,Бурейская,1,Бурейская 1,1,66.5,1,9,23308.27067669173
"Невская, 18А","1-к квартира, 33 м², 9/9 эт.",1965000,р-н Центральный,1 июля 11:38,Невская,18,Невская 18,1,33.0,9,9,59545.454545454544
" Базарова, 10","1-к квартира, 46 м², 1/6 эт.",2550000,р-н Краснооктябрьский,1 июля 10:16,Базарова,10,Базарова 10,1,46.0,1,6,55434.782608695656
