district,rooms,max_floors,rub_by_district
р-н Тракторозаводский,3,5,35404.72701937998
р-н Тракторозаводский,3,6,36718.75
р-н Тракторозаводский,3,8,47696.63791767804
р-н Тракторозаводский,3,9,47505.71703996358
р-н Тракторозаводский,3,10,51334.57533935356
р-н Тракторозаводский,3,11,55747.51703404954
р-н Тракторозаводский,3,12,41376.81129952885
р-н Тракторозаводский,3,14,50383.29242232867
р-н Тракторозаводский,3,16,55693.447658423065
р-н Тракторозаводский,4,2,21407.670690848805
р-н Тракторозаводский,4,3,23391.812865497075
р-н Тракторозаводский,4,5,36641.14797935294
р-н Тракторозаводский,4,9,43050.532356970856
р-н Тракторозаводский,4,10,41793.635423481195
р-н Тракторозаводский,4,11,51094.890510948906
р-н Тракторозаводский,4,16,48009.10364145658
р-н Тракторозаводский,5,10,47401.0152284264
р-н Тракторозаводский,Студия,4,58139.53488372093
р-н Тракторозаводский,Студия,5,40379.46428571429
р-н Тракторозаводский,Студия,9,85000.0
р-н Тракторозаводский,Студия,16,57526.88172043011
р-н Тракторозаводский,Студия,20,44480.28673835126
р-н Центральный,1,3,75129.53367875647
р-н Центральный,1,4,55344.85831402602
р-н Центральный,1,5,63874.68583678976
р-н Центральный,1,6,68089.74541150467
р-н Центральный,1,7,72767.2037265936
р-н Центральный,1,8,67145.1355661882
р-н Центральный,1,9,63043.62274668587
р-н Центральный,1,10,62802.21967389894
р-н Центральный,1,11,63356.54903227882
р-н Центральный,1,12,74056.33722404524
р-н Центральный,1,13,66071.42857142858
р-н Центральный,1,15,65819.00609080841
р-н Центральный,1,16,67217.01638833206
р-н Центральный,1,17,70416.23178276875
р-н Центральный,1,18,69459.37853707203
р-н Центральный,1,19,66186.81574656419
р-н Центральный,1,20,72480.76923076925
р-н Центральный,1,21,71598.63945578232
р-н Центральный,1,22,65686.27450980393
р-н Центральный,1,23,72953.78712045378
р-н Центральный,1,24,65726.70227436494
р-н Центральный,1,25,72322.47656077868
р-н Центральный,1,26,79646.01769911505
р-н Центральный,1,27,75607.9060847218
р-н Центральный,2,2,51897.72424134052
р-н Центральный,2,3,58628.663044943954
р-н Центральный,2,4,62926.42247938529
р-н Центральный,2,5,56161.795180241155
р-н Центральный,2,6,63863.90800558175
р-н Центральный,2,7,63947.96166353006
р-н Центральный,2,8,75386.40563629179
р-н Центральный,2,9,61508.61377069558
р-н Центральный,2,10,61816.691514273734
р-н Центральный,2,11,50205.48842060876
