district,rooms,max_floors,rub_by_district
р-н Красноармейский,2,1,15869.924856837519
р-н Красноармейский,2,2,21994.266087628323
р-н Красноармейский,2,3,29459.139448958325
р-н Красноармейский,2,4,30682.0945623779
р-н Красноармейский,2,5,34419.16626424213
р-н Красноармейский,2,8,35869.565217391304
р-н Красноармейский,2,9,41175.84279772873
р-н Красноармейский,2,10,55708.986338185525
р-н Красноармейский,2,11,56107.954545454544
р-н Красноармейский,2,14,48674.24242424241
р-н Красноармейский,2,16,56580.82748004359
р-н Красноармейский,2,22,51432.079171633784
р-н Красноармейский,3,1,27810.526315789477
р-н Красноармейский,3,2,19027.1771948868
р-н Красноармейский,3,3,24478.833954480233
р-н Красноармейский,3,4,28199.23298961086
р-н Красноармейский,3,5,32962.233757238726
р-н Красноармейский,3,9,40538.88722559514
р-н Красноармейский,3,10,48453.81215911073
р-н Красноармейский,3,11,62500.0
р-н Красноармейский,3,14,45298.424819424465
р-н Красноармейский,3,16,54387.44715153516
р-н Красноармейский,3,17,44625.0
р-н Красноармейский,4,2,20833.33333333333
р-н Красноармейский,4,3,23416.692253360812
р-н Красноармейский,4,4,36634.10425537836
р-н Красноармейский,4,5,34342.11207356758
р-н Красноармейский,4,6,42705.8243222467
р-н Красноармейский,4,9,38361.091201449606
р-н Красноармейский,4,10,38100.652705469714
р-н Красноармейский,4,11,47402.5974025974
р-н Красноармейский,4,12,47367.59938155446
р-н Красноармейский,4,16,37706.50431942367
р-н Красноармейский,5,6,34979.423868312755
р-н Красноармейский,5,9,29825.23820964397
р-н Красноармейский,5,10,30224.719101123595
р-н Красноармейский,5,12,41869.918699186994
р-н Красноармейский,Своб.планировка,5,21666.666666666668
р-н Красноармейский,Своб.планировка,10,40000.0
р-н Красноармейский,Студия,1,39436.021831412974
р-н Красноармейский,Студия,4,34857.142857142855
р-н Красноармейский,Студия,9,59285.714285714275
р-н Красноармейский,Студия,10,36783.01158301158
р-н Красноармейский,Студия,16,63399.47089947091
р-н Краснооктябрьский,1,1,29677.419354838716
р-н Краснооктябрьский,1,2,40071.455817002075
р-н Краснооктябрьский,1,3,41855.95050260892
р-н Краснооктябрьский,1,4,49336.41891168059
р-н Краснооктябрьский,1,5,49094.09586759281
р-н Краснооктябрьский,1,6,57554.25276232874
р-н Краснооктябрьский,1,7,56030.45176920794
р-н Краснооктябрьский,1,8,65875.19623233909
р-н Краснооктябрьский,1,9,52981.47871829057
р-н Краснооктябрьский,1,10,55859.2958182176
р-н Краснооктябрьский,1,11,61754.364673012984
р-н Краснооктябрьский,1,14,42500.0
р-н Краснооктябрьский,1,15,61674.008810572675
р-н Краснооктябрьский,1,16,53518.61212880197
р-н Краснооктябрьский,1,17,50270.79629970059
р-н Краснооктябрьский,1,18,56215.93066150926
р-н Краснооктябрьский,2,1,52687.46297230214
р-н Краснооктябрьский,2,2,36333.719979298105
р-н Краснооктябрьский,2,3,37696.954199814005
р-н Краснооктябрьский,2,4,39999.35118268149
р-н Краснооктябрьский,2,5,42495.33826938878
р-н Краснооктябрьский,2,6,52485.10811157992
р-н Краснооктябрьский,2,7,42979.98267462128
р-н Краснооктябрьский,2,8,59338.47022081228
р-н Краснооктябрьский,2,9,49542.268359575086
р-н Краснооктябрьский,2,10,55660.13616562645
р-н Краснооктябрьский,2,11,62027.730352791645
р-н Краснооктябрьский,2,14,61128.599867285986
р-н Краснооктябрьский,2,16,51790.81390685233
р-н Краснооктябрьский,2,17,51115.66718995291
р-н Краснооктябрьский,2,18,58779.77728559124
р-н Краснооктябрьский,3,2,30723.33935061921
р-н Краснооктябрьский,3,3,36110.06708160784
р-н Краснооктябрьский,3,4,39697.26929132324
р-н Краснооктябрьский,3,5,41718.17948043244
р-н Краснооктябрьский,3,6,45416.12130980007
р-н Краснооктябрьский,3,7,49397.23520147617
р-н Краснооктябрьский,3,8,44302.0935565536
р-н Краснооктябрьский,3,9,49384.498421367
р-н Краснооктябрьский,3,10,54942.82027493929
р-н Краснооктябрьский,3,11,53044.70216529494
р-н Краснооктябрьский,3,14,46107.2336741871
р-н Краснооктябрьский,3,16,48614.499369328376
р-н Краснооктябрьский,3,17,51556.203625892194
р-н Краснооктябрьский,3,18,48129.01325070429
р-н Краснооктябрьский,3,19,48333.33333333334
р-н Краснооктябрьский,4,2,28667.003725711664
р-н Краснооктябрьский,4,4,43090.48197267099
р-н Краснооктябрьский,4,5,41081.747642364564
р-н Краснооктябрьский,4,6,38337.34939759036
р-н Краснооктябрьский,4,7,50161.81229773463
р-н Краснооктябрьский,4,8,51130.42905172702
р-н Краснооктябрьский,4,9,43197.95547253826
р-н Краснооктябрьский,4,10,46634.822014303405
