iter	Passed	Remaining
691	4248	26451
692	4254	26442
693	4260	26433
694	4266	26427
695	4271	26411
696	4277	26405
697	4283	26400
698	4289	26392
699	4295	26384
700	4301	26376
701	4304	26356
702	4311	26351
703	4316	26341
704	4322	26331
705	4326	26316
706	4332	26304
707	4338	26297
708	4343	26288
709	4348	26276
710	4354	26265
711	4360	26258
712	4365	26247
713	4370	26238
714	4377	26231
715	4383	26225
716	4387	26210
717	4393	26204
718	4403	26216
719	4409	26212
720	4415	26204
721	4420	26191
722	4426	26182
723	4431	26170
724	4436	26158
725	4441	26146
726	4446	26136
727	4452	26128
728	4458	26122
729	4464	26112
730	4470	26105
731	4475	26094
732	4480	26082
733	4486	26074
734	4496	26090
735	4503	26092
736	4509	26082
737	4515	26078
738	4521	26070
739	4527	26063
740	4533	26054
741	4538	26044
742	4544	26036
743	4551	26037
744	4558	26033
745	4564	26030
746	4570	26020
747	4576	26014
748	4583	26012
749	4588	26003
750	4594	25992
751	4599	25983
752	4606	25983
753	4612	25974
754	4617	25960
755	4622	25948
756	4627	25939
757	4633	25931
758	4639	25922
759	4645	25916
760	4650	25905
761	4656	25899
762	4662	25892
763	4668	25884
764	4673	25871
765	4679	25863
766	4685	25859
767	4691	25850
768	4696	25840
769	4702	25830
770	4708	25824
771	4713	25812
772	4718	25801
773	4724	25795
774	4730	25787
775	4736	25781
776	4741	25770
777	4747	25764
778	4752	25749
779	4758	25744
780	4764	25736
781	4769	25726
782	4775	25717
783	4781	25715
784	4787	25705
785	4793	25697
786	4798	25689
787	4804	25683
788	4809	25668
789	4815	25659
790	4821	25657
791	4827	25649
792	4832	25638
793	4838	25629
794	4844	25624
795	4850	25618
796	4856	25609
797	4861	25600
798	4867	25590
799	4872	25582
800	4878	25573
801	4885	25570
802	4890	25559
803	4895	25550
804	4901	25541
805	4907	25535
806	4912	25525
807	4918	25518
808	4922	25503
809	4929	25499
810	4935	25490
811	4941	25485
812	4947	25478
813	4957	25492
814	4963	25486
815	4969	25482
816	4975	25474
817	4979	25459
818	4985	25448
819	4989	25435
820	4995	25428
821	5001	25420
822	5006	25410
823	5012	25402
824	5018	25395
825	5024	25391
826	5030	25385
827	5035	25372
828	5041	25365
829	5047	25361
